[2023-05-22 13:59:48,225] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:00:04,368] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:00:06,201] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:29:59,989] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:34:19,959] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:38:44,540] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 14:39:00,476] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/data],   contentType : [null],   params : []
[2023-05-22 15:10:27,400] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 16:39:33,119] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
[2023-05-22 16:39:33,805] [REQUEST] - [0:0:0:0:0:0:0:1]      method : [GET],   URI : [/],   contentType : [null],   params : []
